SubscriptionID,timestamp,avg_cpu,max_cpu,vm_count
0,0,97.06588119415144,260.09292261432785,9
0,300,153.5861508319162,281.1623761711537,9
0,600,151.21520477876757,236.85593583657106,9
0,900,55.97853789232672,152.82657567957193,9
0,1200,6.9467987434623115,23.761769457506105,9
0,1500,59.67230481306835,274.95163203789645,9
0,1800,189.18649130584382,315.5906874137025,9
0,2100,11.923463898703035,93.80524309577089,9
0,2400,88.1202393572129,99.61349660330363,9
0,2700,83.30024215897541,181.0130173964001,9
0,3000,7.688058655961398,36.73287121709476,9
0,3300,5.162131777811526,23.49085537280322,9
0,3600,4.678758353892052,12.99415784574531,9
0,3900,6.361393346146589,50.65181074605535,9
0,4200,4.807779633906198,14.218914649592584,9
0,4500,4.723818178868559,13.489145890571187,8
0,4800,8.164802777103601,28.706339343213333,8
0,5100,46.108570953551904,82.39986875878672,9
0,5400,52.835200810381984,104.58874050246088,9
0,5700,5.971083063031003,24.979280588000343,9
0,6000,5.774951170511388,18.729886588235622,9
0,6300,5.29485405622487,14.582542223595112,9
0,6600,5.5319250397455,17.895260053993795,9
0,6900,6.9137125314299075,25.175568221121466,9
0,7200,5.0248044253021025,13.851729508988297,7
0,7500,5.053660835261618,18.151495624301035,7
0,7800,5.342189198555644,18.194699222501384,7
0,8100,36.10254468636936,110.16279605694467,7
0,8400,44.01921892007516,99.92957910674276,7
0,8700,17.979036565817044,73.23726484611385,7
0,9000,5.527326429623313,20.59620769086076,7
0,9300,4.891668172639661,16.425981633317072,7
0,9600,4.855064954745969,14.926537180203727,7
0,9900,6.137582310761228,19.864803173766383,7
0,10200,4.922354345971725,14.81403342760049,7
0,10500,7.112781976462034,27.003981949469978,7
0,10800,5.650967319260392,18.50020810885321,7
0,11100,7.729673097303897,40.62724026073803,7
0,11400,4.543235460881643,12.407994175641681,7
0,11700,5.819436013992841,23.385374917407255,7
0,12000,7.677589498013964,25.426458532973893,7
0,12300,6.262547815441867,22.79104579958236,6
0,12600,4.854693400572565,20.549238855539144,6
0,12900,5.100675543416972,20.596641255541325,6
1,0,53.984457667505644,120.35782483767582,9
1,300,96.81908643918653,205.21922943994107,9
1,600,28.409504651535922,84.58260378252743,9
1,900,16.265034020702615,111.4075781429387,9
1,1200,77.09539446207923,138.46586606873356,9
1,1500,89.70195822108747,232.9805166520013,9
1,1800,114.74068204103705,315.13062425231277,9
1,2100,6.495217166354557,25.37161512323367,9
1,2400,142.67252263737254,189.49279349402644,9
1,2700,68.89135022804203,132.01356366740407,9
1,3000,6.125225726833766,26.596587888255264,9
1,3300,18.065588651805758,82.81569049936259,9
1,3600,66.95058195801415,114.77622385102052,9
1,3900,41.68709401005369,98.84711906938868,9
1,4200,5.606131393235509,21.80388987244869,9
1,4500,6.819802432475449,27.240881954583593,9
1,4800,6.200651784131123,24.587125731165095,9
1,5100,11.656477896984038,76.36066979628282,9
1,5400,21.572603135349947,197.10803115554285,9
1,5700,6.556679553560261,27.357017400199588,9
1,6000,24.86687169805054,89.1815296096194,10
1,6300,7.893327781725797,36.0451786410239,10
1,6600,6.169390412238886,24.41396606608379,10
1,6900,5.767877998298031,22.778224523938245,10
1,7200,5.719333507165363,23.04636645911614,7
1,7500,6.052169399436599,28.623035715118327,7
1,7800,5.575087745715356,22.41417120944047,7
1,8100,5.239996481383006,21.552446554164487,7
1,8400,5.860166369363204,23.692923480934716,7
1,8700,6.1825440198610755,29.927931916731506,7
1,9000,12.598428788003943,95.04981507240706,7
1,9300,44.44480130747353,122.7876048235578,7
