timestamp,vmid,min_cpu,max_cpu,avg_cpu,cpu_norm,time_step
0,++H3lXcrXnkCwolrV0WozhrKaXNKCX+o12N0E2ZHEyEC5V/qrYhT8QgEHSVSMFhm,0.0844744961572485,0.5956052002675227,0.2632285027900723,0.0026322850279007232,0
300,++H3lXcrXnkCwolrV0WozhrKaXNKCX+o12N0E2ZHEyEC5V/qrYhT8QgEHSVSMFhm,0.0846161027418802,9.99165478332743,0.5366354680841999,0.005366354680841999,1
600,++H3lXcrXnkCwolrV0WozhrKaXNKCX+o12N0E2ZHEyEC5V/qrYhT8QgEHSVSMFhm,0.0879015488776226,0.6289577842590957,0.2494958395488827,0.002494958395488827,2
900,++H3lXcrXnkCwolrV0WozhrKaXNKCX+o12N0E2ZHEyEC5V/qrYhT8QgEHSVSMFhm,0.0818663530704643,0.593023438209112,0.2466619874689819,0.002466619874689819,3
1200,++H3lXcrXnkCwolrV0WozhrKaXNKCX+o12N0E2ZHEyEC5V/qrYhT8QgEHSVSMFhm,0.0940770314451571,0.5447965661917445,0.2439696409501063,0.0024396964095010627,4
1500,++H3lXcrXnkCwolrV0WozhrKaXNKCX+o12N0E2ZHEyEC5V/qrYhT8QgEHSVSMFhm,0.0995038314509474,98.34392132257331,30.704268742270543,0.3070426874227054,5
1800,++H3lXcrXnkCwolrV0WozhrKaXNKCX+o12N0E2ZHEyEC5V/qrYhT8QgEHSVSMFhm,0.1297366449576727,98.3988087003931,16.040364340605024,0.16040364340605023,6
2100,++H3lXcrXnkCwolrV0WozhrKaXNKCX+o12N0E2ZHEyEC5V/qrYhT8QgEHSVSMFhm,0.085114090682129,0.6851433564242964,0.2535533191932454,0.0025355331919324543,7
2400,++H3lXcrXnkCwolrV0WozhrKaXNKCX+o12N0E2ZHEyEC5V/qrYhT8QgEHSVSMFhm,0.0717639762510284,0.6008197854125595,0.2556302800336703,0.0025563028003367026,8
2700,++H3lXcrXnkCwolrV0WozhrKaXNKCX+o12N0E2ZHEyEC5V/qrYhT8QgEHSVSMFhm,0.0822683587204183,0.6666743942687383,0.2514437202372583,0.002514437202372583,9
3000,++H3lXcrXnkCwolrV0WozhrKaXNKCX+o12N0E2ZHEyEC5V/qrYhT8QgEHSVSMFhm,0.0855437277561443,0.5804737853154481,0.252037214462269,0.00252037214462269,10
3300,++H3lXcrXnkCwolrV0WozhrKaXNKCX+o12N0E2ZHEyEC5V/qrYhT8QgEHSVSMFhm,0.0762710062133655,0.6640256879178508,0.2542149116188015,0.002542149116188015,11
3600,++H3lXcrXnkCwolrV0WozhrKaXNKCX+o12N0E2ZHEyEC5V/qrYhT8QgEHSVSMFhm,0.078403968328127,0.6460660922223816,0.2618502458502907,0.002618502458502907,12
3900,++H3lXcrXnkCwolrV0WozhrKaXNKCX+o12N0E2ZHEyEC5V/qrYhT8QgEHSVSMFhm,0.0831582664947428,12.385849789560794,0.5017976558862103,0.005017976558862103,13
4200,++H3lXcrXnkCwolrV0WozhrKaXNKCX+o12N0E2ZHEyEC5V/qrYhT8QgEHSVSMFhm,0.0974242679031494,0.6100794696193854,0.2537888514154751,0.0025378885141547508,14
4500,++H3lXcrXnkCwolrV0WozhrKaXNKCX+o12N0E2ZHEyEC5V/qrYhT8QgEHSVSMFhm,0.0611802157594729,0.648798422829146,0.2484888846626953,0.002484888846626953,15
4800,++H3lXcrXnkCwolrV0WozhrKaXNKCX+o12N0E2ZHEyEC5V/qrYhT8QgEHSVSMFhm,0.0800458250198884,0.5993003592146497,0.2450783967860437,0.002450783967860437,16
5100,++H3lXcrXnkCwolrV0WozhrKaXNKCX+o12N0E2ZHEyEC5V/qrYhT8QgEHSVSMFhm,0.0729721819848277,0.5631044677179062,0.2522243365186219,0.0025222433651862193,17
5400,++H3lXcrXnkCwolrV0WozhrKaXNKCX+o12N0E2ZHEyEC5V/qrYhT8QgEHSVSMFhm,0.0800961373673165,0.622364558262162,0.2485989641673615,0.002485989641673615,18
5700,++H3lXcrXnkCwolrV0WozhrKaXNKCX+o12N0E2ZHEyEC5V/qrYhT8QgEHSVSMFhm,0.084414704403823,0.6321201237983068,0.24651902569553,0.0024651902569553,19
6000,++H3lXcrXnkCwolrV0WozhrKaXNKCX+o12N0E2ZHEyEC5V/qrYhT8QgEHSVSMFhm,0.089520561310729,0.6049211703245065,0.2495795911870211,0.002495795911870211,20
6300,++H3lXcrXnkCwolrV0WozhrKaXNKCX+o12N0E2ZHEyEC5V/qrYhT8QgEHSVSMFhm,0.0721416536127713,0.5444683112907303,0.249271703463743,0.00249271703463743,21
6600,++H3lXcrXnkCwolrV0WozhrKaXNKCX+o12N0E2ZHEyEC5V/qrYhT8QgEHSVSMFhm,0.0926279523312787,0.6449059067374479,0.2502486168259681,0.002502486168259681,22
6900,++H3lXcrXnkCwolrV0WozhrKaXNKCX+o12N0E2ZHEyEC5V/qrYhT8QgEHSVSMFhm,0.0482621012636335,0.3877878306569219,0.1506258919435496,0.0015062589194354962,23
0,+4LtModCdvhHgi7KRjxRxGGjW6FFq4k90FDb0gTqmbKanTgEZ6OBKng5Ddu1GIGO,0.5974608850147243,1.6390293826332347,0.8976358607923206,0.008976358607923207,0
