subid,time_step,demand,predicted_demand,capacity,reward,sla_violation
0,0,97.06588119415144,97.06588119415144,1.0,-10.5,1
0,1,153.5861508319162,153.5861508319162,1.5,-10.0,1
0,2,151.21520477876757,151.21520477876757,1.5,-10.5,1
0,3,55.97853789232672,55.97853789232672,2.0,-10.0,1
0,4,6.946798743462312,6.946798743462312,2.0,-10.5,1
0,5,59.67230481306835,59.67230481306835,2.5,-10.0,1
0,6,189.18649130584384,189.18649130584384,2.5,-10.5,1
0,7,11.923463898703035,11.923463898703035,3.0,-10.0,1
0,8,88.1202393572129,88.1202393572129,3.0,-10.5,1
0,9,83.30024215897541,83.30024215897541,3.5,-10.0,1
0,10,7.688058655961398,7.688058655961398,3.5,-10.5,1
0,11,5.162131777811526,83.4025046624184,4.0,-10.0,1
0,12,4.678758353892052,74.93368506872797,4.0,-10.5,1
0,13,6.361393346146589,61.438082299199074,4.5,-10.0,1
0,14,4.807779633906198,48.01740166092012,4.5,-10.5,1
0,15,4.723818178868559,43.319052353853124,5.0,-0.2761818211314413,0
0,16,8.164802777103601,43.430702723603574,5.0,-10.5,1
0,17,46.108570953551904,42.187360453147896,5.5,-10.0,1
0,18,52.835200810381984,29.68849215773056,5.5,-10.5,1
0,19,5.971083063031003,29.14285724779396,6.0,-0.02891693696899722,0
0,20,5.774951170511388,21.59453916401299,6.0,-0.7250488294886122,0
0,21,5.29485405622487,14.444045254594183,6.5,-1.20514594377513,0
0,22,5.5319250397455,14.246399673107724,6.5,-1.4680749602544996,0
0,23,6.913712531429908,14.406961242189409,7.0,-0.08628746857009162,0
0,24,5.024804425302103,14.438682132068664,7.0,-2.4751955746978966,0
0,25,5.053660835261618,14.31880665190421,7.5,-2.446339164738382,0
0,26,5.342189198555644,14.36779419533041,7.5,-2.6578108014443558,0
0,27,36.10254468636936,17.24417745851798,8.0,-10.0,1
0,28,44.01921892007516,20.53083227162371,8.0,-10.5,1
0,29,17.979036565817044,17.952291619414677,8.5,-10.0,1
0,30,5.527326429623313,13.615736467845135,8.5,-3.4726735703766867,0
0,31,4.891668172639661,13.516790102892596,9.0,-4.108331827360339,0
0,32,4.855064954745969,13.432467199780763,9.0,-4.644935045254031,0
0,33,6.137582310761228,13.509717289779928,9.5,-3.3624176892387716,0
0,34,4.922354345971725,13.453839976183996,9.5,-5.077645654028275,0
0,35,7.112781976462034,13.472088008645276,10.0,-2.887218023537966,0
0,36,5.650967319260392,13.529486273924785,10.0,-4.849032680739608,0
0,37,7.729673097303897,13.774787397945332,10.5,-2.7703269026961026,0
0,38,4.543235460881643,13.70154997199188,10.5,-6.456764539118357,0
0,39,5.819436013992841,10.925598343690702,11.0,-5.180563986007159,0
0,40,7.677589498013964,7.594282313335092,11.0,-3.3224105019860364,0
0,41,6.262547815441867,6.520270844550699,11.0,-4.737452184558133,0
0,42,4.854693400572565,6.458612816887716,11.0,-6.145306599427435,0
0,43,5.100675543416972,6.477771825875635,11.0,-5.899324456583028,0
1,0,53.984457667505644,53.984457667505644,1.0,-10.5,1
1,1,96.81908643918652,96.81908643918652,1.5,-10.0,1
1,2,28.40950465153592,28.40950465153592,1.5,-10.5,1
1,3,16.265034020702615,16.265034020702615,2.0,-10.0,1
1,4,77.09539446207923,77.09539446207923,2.0,-10.5,1
1,5,89.70195822108747,89.70195822108747,2.5,-10.0,1
1,6,114.74068204103703,114.74068204103703,2.5,-10.5,1
1,7,6.495217166354557,6.495217166354557,3.0,-10.0,1
1,8,142.67252263737254,142.67252263737254,3.0,-10.5,1
1,9,68.89135022804203,68.89135022804203,3.5,-10.0,1
1,10,6.125225726833766,6.125225726833766,3.5,-10.5,1
1,11,18.06558865180576,65.93271867540811,4.0,-10.0,1
1,12,66.95058195801415,67.12128006870473,4.0,-10.5,1
1,13,41.68709401005369,62.067514096034216,4.5,-10.0,1
1,14,5.606131393235509,59.97720488069002,4.5,-10.5,1
